cluster	axial count	mcr count	total occurrence
GC_00002382	3	0	4
GC_00002381	2	2	4
GC_00002380	3	0	4
GC_00002054	1	4	5
GC_00003658	2	0	2
GC_00003659	1	1	2
GC_00003652	2	0	2
GC_00003653	0	2	2
GC_00003650	2	0	2
GC_00003651	0	2	2
GC_00003656	1	1	2
GC_00003657	0	2	2
GC_00003654	2	0	2
GC_00003655	1	1	2
GC_00004389	1	0	1
GC_00004388	0	1	1
GC_00004381	1	0	1
GC_00004380	1	0	1
GC_00004383	0	1	1
GC_00004382	1	0	1
GC_00004385	1	0	1
GC_00004384	1	0	1
GC_00004387	0	1	1
GC_00004386	0	1	1
GC_00002929	0	3	3
GC_00002928	1	1	3
GC_00002923	3	0	3
GC_00002922	3	0	3
GC_00002921	0	2	3
GC_00002920	1	2	3
GC_00002927	2	1	3
GC_00002926	3	0	3
GC_00002925	3	0	3
GC_00002924	1	1	3
GC_00003038	0	2	2
GC_00003039	0	2	2
GC_00003036	0	2	2
GC_00003037	0	2	2
GC_00003034	2	0	2
GC_00003035	0	2	2
GC_00003032	0	2	2
GC_00003033	0	2	2
GC_00003030	0	2	2
GC_00003031	0	2	2
GC_00000600	10	9	19
GC_00000601	11	8	19
GC_00000602	8	8	19
GC_00000603	11	8	19
GC_00000604	9	9	19
GC_00000605	10	8	19
GC_00000606	11	8	19
GC_00000607	10	9	19
GC_00000608	12	6	19
GC_00000609	10	9	19
GC_00004567	0	1	1
GC_00004566	1	0	1
GC_00004561	1	0	1
GC_00004560	1	0	1
GC_00004563	1	0	1
GC_00004562	1	0	1
GC_00005388	1	0	1
GC_00005389	0	1	1
GC_00005386	1	0	1
GC_00005387	1	0	1
GC_00005384	1	0	1
GC_00005385	0	1	1
GC_00005382	1	0	1
GC_00005383	1	0	1
GC_00005380	0	1	1
GC_00005381	1	0	1
GC_00005162	1	0	1
GC_00005163	1	0	1
GC_00005160	1	0	1
GC_00005161	1	0	1
GC_00005166	1	0	1
GC_00005167	1	0	1
GC_00005164	1	0	1
GC_00005165	1	0	1
GC_00005168	0	1	1
GC_00005169	0	1	1
GC_00009724	1	0	1
GC_00009725	0	1	1
GC_00009726	0	1	1
GC_00009727	1	0	1
GC_00009720	0	1	1
GC_00009721	1	0	1
GC_00009722	1	0	1
GC_00009723	1	0	1
GC_00009728	1	0	1
GC_00009729	0	1	1
GC_00001269	1	6	9
GC_00001268	3	6	9
GC_00001261	4	4	9
GC_00001260	4	5	9
GC_00001263	2	7	9
GC_00001262	4	5	9
GC_00001265	5	3	9
GC_00001264	1	6	9
GC_00001267	1	7	9
GC_00001266	5	4	9
GC_00007883	1	0	1
GC_00009279	1	0	1
GC_00006127	0	1	1
GC_00006126	1	0	1
GC_00006125	1	0	1
GC_00006124	0	1	1
GC_00006123	0	1	1
GC_00006122	1	0	1
GC_00006121	1	0	1
GC_00006120	0	1	1
GC_00006129	1	0	1
GC_00006128	1	0	1
GC_00007838	1	0	1
GC_00007839	0	1	1
GC_00007832	1	0	1
GC_00007833	0	1	1
GC_00007830	1	0	1
GC_00007831	1	0	1
GC_00007836	0	1	1
GC_00007837	1	0	1
GC_00007834	1	0	1
GC_00007835	0	1	1
GC_00002242	3	0	4
GC_00002243	1	3	4
GC_00002240	2	2	4
GC_00002241	3	0	4
GC_00002246	3	0	4
GC_00002715	0	3	3
GC_00002244	0	3	4
GC_00002717	3	0	3
GC_00002718	0	2	3
GC_00002719	1	2	3
GC_00002248	3	0	4
GC_00002249	1	0	4
GC_00008149	1	0	1
GC_00008148	0	1	1
GC_00010115	1	0	1
GC_00004692	0	1	1
GC_00008145	0	1	1
GC_00008144	1	0	1
GC_00004718	0	1	1
GC_00004719	1	0	1
GC_00004712	1	0	1
GC_00004713	0	1	1
GC_00004710	1	0	1
GC_00004711	1	0	1
GC_00004716	0	1	1
GC_00004717	0	1	1
GC_00004714	1	0	1
GC_00004715	1	0	1
GC_00007087	0	1	1
GC_00009531	0	1	1
GC_00007920	1	0	1
GC_00009533	1	0	1
GC_00009532	0	1	1
GC_00009535	0	1	1
GC_00009534	0	1	1
GC_00006855	1	0	1
GC_00007921	0	1	1
GC_00009539	1	0	1
GC_00009538	1	0	1
GC_00007922	0	1	1
GC_00007923	1	0	1
GC_00007924	1	0	1
GC_00009834	0	1	1
GC_00007925	1	0	1
GC_00004730	1	0	1
GC_00007926	1	0	1
GC_00004731	0	1	1
GC_00007431	0	1	1
GC_00004732	0	1	1
GC_00004733	1	0	1
GC_00004734	1	0	1
GC_00004735	1	0	1
GC_00006853	1	0	1
GC_00004736	1	0	1
GC_00004737	0	1	1
GC_00004739	1	0	1
GC_00005690	1	0	1
GC_00005691	1	0	1
GC_00005692	1	0	1
GC_00005693	1	0	1
GC_00001728	6	0	6
GC_00001729	4	2	6
GC_00001898	5	0	5
GC_00001899	5	0	5
GC_00001724	4	2	6
GC_00001725	4	2	6
GC_00001726	6	0	6
GC_00001727	4	2	6
GC_00001892	3	2	5
GC_00001893	3	2	5
GC_00001722	0	4	6
GC_00001723	2	3	6
GC_00004558	1	0	1
GC_00006718	0	1	1
GC_00005696	1	0	1
GC_00004559	1	0	1
GC_00006714	0	1	1
GC_00006715	0	1	1
GC_00006716	1	0	1
GC_00005697	0	1	1
GC_00006710	1	0	1
GC_00006711	0	1	1
GC_00006712	0	1	1
GC_00006713	1	0	1
GC_00000419	13	7	20
GC_00000418	12	8	20
GC_00004978	1	0	1
GC_00004979	0	1	1
GC_00000415	11	9	21
GC_00004977	0	1	1
GC_00004974	1	0	1
GC_00004975	1	0	1
GC_00000411	10	9	21
GC_00004973	1	0	1
GC_00004970	1	0	1
GC_00004971	1	0	1
GC_00008622	1	0	1
GC_00008623	1	0	1
GC_00008620	1	0	1
GC_00008621	1	0	1
GC_00008626	1	0	1
GC_00008627	0	1	1
GC_00008624	0	1	1
GC_00008625	1	0	1
GC_00008628	0	1	1
GC_00008629	1	0	1
GC_00001096	7	4	11
GC_00001097	6	5	11
GC_00001094	6	5	11
GC_00001095	5	6	11
GC_00001092	3	8	11
GC_00001093	4	3	11
GC_00001090	4	5	11
GC_00001091	4	7	11
GC_00004552	1	0	1
GC_00001098	3	8	11
GC_00001099	7	4	11
GC_00006822	1	0	1
GC_00006823	1	0	1
GC_00006820	0	1	1
GC_00004553	1	0	1
GC_00006826	1	0	1
GC_00006827	1	0	1
GC_00006824	1	0	1
GC_00006825	1	0	1
GC_00010043	0	1	1
GC_00010042	0	1	1
GC_00006828	1	0	1
GC_00006829	1	0	1
GC_00010047	1	0	1
GC_00010046	1	0	1
GC_00010045	0	1	1
GC_00010044	1	0	1
GC_00008729	0	1	1
GC_00008728	1	0	1
GC_00008727	0	1	1
GC_00008726	0	1	1
GC_00008725	0	1	1
GC_00008724	1	0	1
GC_00008723	1	0	1
GC_00008722	0	1	1
GC_00008721	0	1	1
GC_00008720	1	0	1
GC_00005599	0	1	1
GC_00005598	0	1	1
GC_00005593	1	0	1
GC_00005592	1	0	1
GC_00005591	1	0	1
GC_00005590	0	1	1
GC_00005597	0	1	1
GC_00005596	1	0	1
GC_00005595	1	0	1
GC_00005594	0	1	1
GC_00007443	1	0	1
GC_00007442	1	0	1
GC_00007441	1	0	1
GC_00007440	1	0	1
GC_00007447	1	0	1
GC_00007446	0	1	1
GC_00007445	0	1	1
GC_00007444	1	0	1
GC_00007995	0	1	1
GC_00007994	1	0	1
GC_00007449	1	0	1
GC_00007448	1	0	1
GC_00007991	1	0	1
GC_00007990	1	0	1
GC_00007993	1	0	1
GC_00007992	1	0	1
GC_00005629	0	1	1
GC_00005628	1	0	1
GC_00005625	1	0	1
GC_00005624	1	0	1
GC_00005627	0	1	1
GC_00005626	1	0	1
GC_00005621	0	1	1
GC_00005620	0	1	1
GC_00005623	0	1	1
GC_00005622	1	0	1
GC_00010174	1	0	1
GC_00009858	1	0	1
GC_00001180	4	5	10
GC_00009859	0	1	1
GC_00007195	0	1	1
GC_00007194	1	0	1
GC_00007197	1	0	1
GC_00007196	0	1	1
GC_00007191	1	0	1
GC_00007190	1	0	1
GC_00007193	0	1	1
GC_00007192	0	1	1
GC_00002362	1	3	4
GC_00001181	8	2	10
GC_00007198	0	1	1
GC_00007669	1	0	1
GC_00007668	0	1	1
GC_00002019	1	3	5
GC_00002018	1	4	5
GC_00002017	0	5	5
GC_00002016	1	4	5
GC_00002015	1	4	5
